Codebook Index Counts:
Index 1102: 5471
Index 1103: 1924
Index 1104: 868
Index 1105: 5117
Index 1106: 4184
Index 1107: 4121
Index 1108: 1136
Index 1109: 4030
Index 1110: 8457
Index 1111: 151
Index 1112: 4302
Index 1113: 426
Index 1114: 691
Index 1115: 940
Index 1116: 419
Index 1117: 110
Index 1118: 6741
Index 1119: 2490
Index 1120: 826
Index 1121: 3705
Index 1122: 718
Index 1123: 867
Index 1124: 8
Index 1125: 2364
Index 1126: 7
Index 1127: 3241
Index 1128: 7481
Index 1129: 174
Index 1130: 19062
Index 1131: 4139
Index 1132: 660
Index 1133: 109
Index 1134: 727
Index 1135: 4
Index 1136: 2113
Index 1137: 1020
Index 1138: 2288
Index 1139: 591
Index 1140: 1211
Index 1141: 1237
Index 1142: 40
Index 1143: 59
Index 1144: 4738
Index 1145: 924
Index 1146: 783
Index 1147: 380
Index 1148: 79
Index 1149: 6222
Index 1150: 3329
Index 1151: 7259
Index 1152: 299
Index 1153: 10
Index 1154: 2507
Index 1155: 1664
Index 1156: 287
Index 1157: 1017
Index 1158: 302
Index 1159: 12714
Index 1160: 184
Index 1161: 264
Index 1162: 90
Index 1163: 494
Index 1164: 1402
Index 1165: 3210
Index 1166: 251
Index 1167: 328
Index 1168: 438
Index 1169: 13884
Index 1170: 426
Index 1171: 2741
Index 1172: 0
Index 1173: 635
Index 1174: 2354
Index 1175: 3035
Index 1176: 860
Index 1177: 3131
Index 1178: 23
Index 1179: 1690
Index 1180: 3306
Index 1181: 5
Index 1182: 103
Index 1183: 98
Index 1184: 2426
Index 1185: 3796
Index 1186: 340
Index 1187: 1687
Index 1188: 87
Index 1189: 1904
Index 1190: 1635
Index 1191: 0
Index 1192: 8060
Index 1193: 5330
Index 1194: 678
Index 1195: 1042
Index 1196: 1133
Index 1197: 2392
Index 1198: 322
Index 1199: 544
Index 1200: 84
Index 1201: 22177
Index 1202: 687
Index 1203: 972
Index 1204: 1739
Index 1205: 945
Index 1206: 15922
Index 1207: 308
Index 1208: 601
Index 1209: 3016
Index 1210: 5336
Index 1211: 803
Index 1212: 4528
Index 1213: 801
Index 1214: 1312
Index 1215: 2758
Index 1216: 33
Index 1217: 1473
Index 1218: 1297
Index 1219: 3677
Index 1220: 1951
Index 1221: 3387
Index 1222: 31
Index 1223: 561
Index 1224: 678
Index 1225: 2542
Index 1226: 87055
Index 1227: 51
Index 1228: 22354
Index 1229: 858
Index 1230: 1011
Index 1231: 2140
Index 1232: 1030
Index 1233: 0
Index 1234: 1503
Index 1235: 436
Index 1236: 4933
Index 1237: 2107
Index 1238: 19081
Index 1239: 874
Index 1240: 2305
Index 1241: 17042
Index 1242: 2456
Index 1243: 5819
Index 1244: 219
Index 1245: 544
Index 1246: 305
Index 1247: 2179
Index 1248: 1218
Index 1249: 1274
Index 1250: 1692
Index 1251: 3
Index 1252: 649
Index 1253: 25
Index 1254: 97
Index 1255: 14707
Index 1256: 2241
Index 1257: 2
Index 1258: 1275
Index 1259: 2115
Index 1260: 661
Index 1261: 1378
Index 1262: 2764
Index 1263: 657
Index 1264: 2227
Index 1265: 3828
Index 1266: 12
Index 1267: 115
Index 1268: 579
Index 1269: 1367
Index 1270: 351
Index 1271: 614
Index 1272: 82
Index 1273: 927
Index 1274: 42
Index 1275: 54
Index 1276: 3679
Index 1277: 1161
Index 1278: 5178
Index 1279: 2783
Index 1280: 391
Index 1281: 619
Index 1282: 44
Index 1283: 737
Index 1284: 1011
Index 1285: 2944
Index 1286: 935
Index 1287: 9764
Index 1288: 4986
Index 1289: 3833
Index 1290: 3313
Index 1291: 3363
Index 1292: 646
Index 1293: 49
Index 1294: 1284
Index 1295: 2988
Index 1296: 1641
Index 1297: 3366
Index 1298: 1640
Index 1299: 273
Index 1300: 166
Index 1301: 16
Index 1302: 19
Index 1303: 535
Index 1304: 1776
Index 1305: 1936
Index 1306: 5147
Index 1307: 2077
Index 1308: 1946
Index 1309: 2265
Index 1310: 3
Index 1311: 910
Index 1312: 36
Index 1313: 18
Index 1314: 1766
Index 1315: 421
Index 1316: 353
Index 1317: 330
Index 1318: 109
Index 1319: 180
Index 1320: 7964
Index 1321: 2261
Index 1322: 8786
Index 1323: 3719
Index 1324: 2800
Index 1325: 1495
Index 1326: 95
Index 1327: 76
Index 1328: 283
Index 1329: 0
Index 1330: 1132
Index 1331: 449
Index 1332: 210
Index 1333: 3405
Index 1334: 1315
Index 1335: 5702
Index 1336: 974
Index 1337: 2320
Index 1338: 11847
Index 1339: 270
Index 1340: 3524
Index 1341: 92
Index 1342: 2848
Index 1343: 1215
Index 1344: 8
Index 1345: 470
Index 1346: 149
Index 1347: 3517
Index 1348: 268
Index 1349: 1313
Index 1350: 10472
Index 1351: 76
Index 1352: 0
Index 1353: 496
Index 1354: 1078
Index 1355: 131
Index 1356: 2299
Index 1357: 27
Index 1358: 313
Index 1359: 11
Index 1360: 5319
Index 1361: 1720
Index 1362: 866
Index 1363: 1926
Index 1364: 2218
Index 1365: 793
Index 1366: 14
Index 1367: 463
Index 1368: 37
Index 1369: 136
Index 1370: 0
Index 1371: 1995
Index 1372: 82
Index 1373: 20
Index 1374: 193
Index 1375: 311
Index 1376: 1024
Index 1377: 533
Index 1378: 6488
Index 1379: 202
Index 1380: 21
Index 1381: 0
Index 1382: 461
Index 1383: 3555
Index 1384: 3798
Index 1385: 2767
Index 1386: 1074
Index 1387: 4
Index 1388: 1728
Index 1389: 598
Index 1390: 910
Index 1391: 0
Index 1392: 3795
Index 1393: 1103
Index 1394: 0
Index 1395: 602
Index 1396: 4561
Index 1397: 60
Index 1398: 474
Index 1399: 1400
Index 1400: 333
Index 1401: 989
Index 1402: 80
Index 1403: 1907
Index 1404: 6021
Index 1405: 261
Index 1406: 0
Index 1407: 843
Index 1408: 27
Index 1409: 1894
Index 1410: 1228
Index 1411: 147
Index 1412: 961
Index 1413: 4
Index 1414: 78
Index 1415: 1862
Index 1416: 2885
Index 1417: 4248
Index 1418: 16
Index 1419: 0
Index 1420: 1791
Index 1421: 1088
Index 1422: 11246
Index 1423: 816
Index 1424: 186
Index 1425: 2035
Index 1426: 221
Index 1427: 382
Index 1428: 1329
Index 1429: 4530
Index 1430: 88
Index 1431: 4089
Index 1432: 0
Index 1433: 1
Index 1434: 1953
Index 1435: 23
Index 1436: 1686
Index 1437: 48
Index 1438: 70
Index 1439: 1026
Index 1440: 9
Index 1441: 4261
Index 1442: 8326
Index 1443: 137
Index 1444: 442
Index 1445: 1
Index 1446: 1504
Index 1447: 6107
Index 1448: 3983
Index 1449: 7940
Index 1450: 92
Index 1451: 3890
Index 1452: 6771
Index 1453: 24
Index 1454: 1
Index 1455: 1603
Index 1456: 181
Index 1457: 20
Index 1458: 4516
Index 1459: 1697
Index 1460: 293
Index 1461: 124
Index 1462: 1371
Index 1463: 307
Index 1464: 1817
Index 1465: 1236
Index 1466: 830
Index 1467: 1085
Index 1468: 32
Index 1469: 1040
Index 1470: 15
Index 1471: 7522
Index 1472: 1
Index 1473: 27
Index 1474: 492
Index 1475: 1529
Index 1476: 0
Index 1477: 8558
Index 1478: 3741
Index 1479: 83
Index 1480: 1966
Index 1481: 91
Index 1482: 704
Index 1483: 2664
Index 1484: 2432
Index 1485: 440
Index 1486: 1040
Index 1487: 1313
Index 1488: 51
Index 1489: 9915
Index 1490: 1391
Index 1491: 4340
Index 1492: 71
Index 1493: 534
Index 1494: 1189
Index 1495: 369
Index 1496: 2239
Index 1497: 3792
Index 1498: 2017
Index 1499: 288
Index 1500: 39
Index 1501: 3904
Index 1502: 3442
Index 1503: 1323
Index 1504: 787
Index 1505: 739
Index 1506: 3042
Index 1507: 85
Index 1508: 5188
Index 1509: 0
Index 1510: 49903
Index 1511: 2115
Index 1512: 1393
Index 1513: 1547
Index 1514: 23961
Index 1515: 5102
Index 1516: 651
Index 1517: 655
Index 1518: 349
Index 1519: 1940
Index 1520: 26710
Index 1521: 1059
Index 1522: 106
Index 1523: 2601
Index 1524: 2316
Index 1525: 2446
Index 1526: 777
Index 1527: 2358
Index 1528: 979
Index 1529: 1546
Index 1530: 978
Index 1531: 852
Index 1532: 319
Index 1533: 13777
Index 1534: 2391
Index 1535: 3364
Index 1536: 7577
Index 1537: 2282
Index 1538: 12128
Index 1539: 13419
Index 1540: 4869
Index 1541: 882
Index 1542: 38
Index 1543: 208
Index 1544: 1
Index 1545: 77889
Index 1546: 1555
Index 1547: 0
